Index,Province,FamilySize,LowIncome,MiddleIncome
AB1,AB,1,24880,48008
AB2,AB,2,30976,67212
AB3,AB,3,38081,80560
AB4,AB,4,46234,90022
AB5,AB,5,52439,97373
AB6,AB,6,59142,103372
AB7,AB,7,65846,108446
BC1,BC,1,24144,41898
BC2,BC,2,30059,58659
BC3,BC,3,36955,76206
BC4,BC,4,44866,88651
BC5,BC,5,50887,98303
BC6,BC,6,57392,106191
BC7,BC,7,63898,112862
MB1,MB,1,24921,38504
MB2,MB,2,31027,53904
MB3,MB,3,38143,67511
MB4,MB,4,46310,77163
MB5,MB,5,52524,84655
MB6,MB,6,59238,90777
MB7,MB,7,65953,95950
NB1,NB,1,20937,33850
NB2,NB,2,26064,47392
NB3,NB,3,32041,58810
NB4,NB,4,38904,66914
NB5,NB,5,44123,73198
NB6,NB,6,49765,78331
NB7,NB,7,55405,82674
NL1,NL,1,21205,34181
NL2,NL,2,26397,47855
NL3,NL,3,32451,59788
NL4,NL,4,39400,69104
NL5,NL,5,44687,76325
NL6,NL,6,50400,82229
NL7,NL,7,56112,87218
NS1,NS,1,21041,38693
NS2,NS,2,26194,54172
NS3,NS,3,32203,67407
NS4,NS,4,39099,76792
NS5,NS,5,44344,84075
NS6,NS,6,50015,90029
NS7,NS,7,55683,95060
NT1,NT,1,24790,46593
NT2,NT,2,30863,65229
NT3,NT,3,37943,76665
NT4,NT,4,46066,84782
NT5,NT,5,52248,91075
NT6,NT,6,58926,96226
NT7,NT,7,65606,100572
NU1,NU,1,24690,46363
NU2,NU,2,30738,64907
NU3,NU,3,37789,76287
NU4,NU,4,45879,84363
NU5,NU,5,52036,90626
NU6,NU,6,58687,95752
NU7,NU,7,65339,100076
ON1,ON,1,24747,44751
ON2,ON,2,30811,62652
ON3,ON,3,37878,77779
ON4,ON,4,45987,88515
ON5,ON,5,52159,96846
ON6,ON,6,58827,103643
ON7,ON,7,65495,109401
PE1,PE,1,20975,35382
PE2,PE,2,26111,49534
PE3,PE,3,32102,62973
PE4,PE,4,38976,72511
PE5,PE,5,44205,79904
PE6,PE,6,49856,85950
PE7,PE,7,55507,91055
QC1,QC,1,24400,38795
QC2,QC,2,30378,54315
QC3,QC,3,37345,68645
QC4,QC,4,45343,78806
QC5,QC,5,51427,86699
QC6,QC,6,57999,93138
QC7,QC,7,64574,98585
SK1,SK,1,21512,38166
SK2,SK,2,26781,53433
SK3,SK,3,32924,66926
SK4,SK,4,39975,76492
SK5,SK,5,45338,83912
SK6,SK,6,51134,89982
SK7,SK,7,56929,95108
YT1,YT,1,24362,45768
YT2,YT,2,30329,64075
YT3,YT,3,37287,75309
YT4,YT,4,45270,83282
YT5,YT,5,51345,89464
YT6,YT,6,57908,94525
YT7,YT,7,64472,98793